G_Name,Release_Date_Japan,Release_Date_NA,Platforms,Generation,Total_Monsters,Num_of_Launch_Monsters,Num_of_Monsters_by_Title_Update,Num_of_First_Appearances,Expansion,Game_Expanded
MH 1,3/11/2004,9/21/2004,Playstation 2,1,17,17,0,17,No,
MH G,1/20/2005,,Playstation 2/Nintendo Wii,1,30,30,0,13,Yes,MH 1
MH Freedom,12/1/2005,5/23/2006,Playstation Portable,1,31,31,0,1,No,
MH 2,2/16/2006,,Playstation 2,2,46,46,0,15,No,
MH Freedom 2,2/22/2007,8/28/2007,Playstation Portable,2,47,47,0,3,No,
MH Freedom Unite,3/27/2008,6/22/2009,Playstation Portable/iOS,2,60,60,0,11,Yes,MH Freedom 2
MH Tri,8/1/2009,4/20/2010,Nintendo Wii,3,18,18,0,15,No,
MH Portable 3rd,12/1/2010,,Playstation Portable/Playstation 3,3,40,40,0,17,No,
MH 3 Ultimate,12/10/2011,3/19/2013,Nintendo Wii U/Nintendo 3DS,3,51,51,0,10,Yes,MH Tri
MH 4,9/14/2013,,Nintendo 3DS,4,47,47,0,12,No,
MH 4 Ultimate,10/11/2014,2/13/2015,Nintendo 3DS,4,75,75,0,12,Yes,MH 4
MH Generations,11/28/2015,7/15/2016,Nintendo 3DS,4,71,71,0,19,No,
MH Generations Ultimate,3/18/2017,8/28/2018,Nintendo 3DS/Nintendo Switch,4,93,93,0,8,Yes,MH Generations
MH World,1/26/2018,1/26/2018,Xbox One/Playstation 4/PC,5,36,30,6,22,No,
MH World: Iceborne,9/6/2019,9/6/2019,Xbox One/Playstation 4/PC,5,71,63,8,17,Yes,MH World
MH Rise,3/26/2021,3/26/2021,Nintendo Switch/PC/Playstation 4/Playstation 5/Xbox One/Xbox Series S/Xbox Series X,5,46,37,9,19,No,
MH Rise: Sunbreak,6/30/2022,6/30/2022,Nintendo Switch/PC/Playstation 4/Playstation 5/Xbox One/Xbox Series S/Xbox Series X,5,78,63,15,18,Yes,MH Rise
MH Wilds,2/28/2025,2/28/2025,PC/Playstation 5/Xbox Series S/Xbox Series X,6,30,29,1,20,No,
